"Table 2.  Detailed Occupation1 by Median Earnings in the Past 12 Months, Sex and Education for Full-Time, Year-Round Workers: ACS 2016",,,,,,,,,,,,,,,,,,,
"Universe: Full-time, year-round, civilian employed population 25 years and over with earnings ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Total,,,,,,Less than Bachelor's degree,,,,,,Bachelor's degree or higher,,,,,,
"Engineering technicians, except drafters"," 57,113 "," 1,326 "," 60,302 ", 701 ," 49,720 "," 3,033 "," 56,378 ", 988 ," 59,395 "," 2,412 "," 47,363 "," 3,092 "," 61,245 "," 1,675 "," 62,111 "," 3,072 "," 52,522 "," 5,325 ",
Surveying and mapping technicians," 51,045 ", 734 ," 51,398 ", 916 ," 47,103 "," 4,648 "," 51,175 ", 782 ," 51,482 ", 997 ," 50,034 "," 6,760 "," 47,090 "," 3,885 "," 48,543 "," 8,999 "," 45,796 "," 2,155 ",
"Life, Physical, and Social Science Occupations"," 66,956 ", 660 ," 71,695 ", 819 ," 61,832 ", 533 ," 51,061 ", 853 ," 54,421 "," 3,417 "," 45,913 "," 2,056 "," 71,368 ", 574 ," 77,980 "," 2,184 "," 65,076 "," 1,069 ",
Agricultural and food scientists," 71,676 "," 4,037 "," 72,506 "," 6,319 "," 69,650 "," 9,414 ", - , ** , - , ** , - , ** ," 71,676 "," 4,037 "," 72,506 "," 6,319 "," 69,650 "," 9,414 ",
Biological scientists," 62,739 "," 3,485 "," 66,706 "," 2,298 "," 59,630 "," 4,707 ", - , ** , - , ** , - , ** ," 62,739 "," 3,485 "," 66,706 "," 2,298 "," 59,630 "," 4,707 ",
Conservation scientists and foresters," 61,001 "," 1,913 "," 60,774 "," 2,395 "," 61,812 "," 5,003 ", - , ** , - , ** , - , ** ," 61,001 "," 1,913 "," 60,774 "," 2,395 "," 61,812 "," 5,003 ",
Medical scientists," 75,542 "," 2,732 "," 81,373 "," 4,113 "," 71,671 "," 1,493 "," 71,015 "," 14,559 "," 52,381 "," 43,245 "," 75,241 "," 10,249 "," 75,637 "," 2,876 "," 81,531 "," 4,179 "," 71,622 "," 1,531 ",
"Life scientists, all other"," 74,566 "," 24,066 "," 81,388 "," 34,529 "," 56,101 "," 8,413 ", - , ** , - , ** , - , ** ," 74,566 "," 24,066 "," 81,388 "," 34,529 "," 56,101 "," 8,413 ",
Astronomers and physicists," 94,924 "," 10,528 "," 101,448 "," 5,956 "," 74,236 "," 16,825 ", - , ** , - , ** , - , ** ," 94,924 "," 10,528 "," 101,448 "," 5,956 "," 74,236 "," 16,825 ",
Atmospheric and space scientists," 91,841 "," 7,060 "," 92,595 "," 8,487 "," 89,167 "," 10,198 "," 69,154 "," 9,278 "," 68,884 "," 8,605 "," 103,118 "," 53,795 "," 94,771 "," 7,557 "," 96,054 "," 7,520 "," 88,333 "," 8,708 ",
Chemists and materials scientists," 71,622 "," 1,294 "," 77,328 "," 5,310 "," 65,543 "," 2,781 "," 71,074 "," 4,959 "," 73,309 "," 11,253 "," 51,979 "," 14,778 "," 71,687 "," 1,563 "," 78,081 "," 5,221 "," 65,898 "," 2,924 ",
Environmental scientists and geoscientists," 75,379 "," 3,097 "," 80,589 "," 2,863 "," 61,889 "," 4,724 ", - , ** , - , ** , - , ** ," 75,379 "," 3,097 "," 80,589 "," 2,863 "," 61,889 "," 4,724 ",
"Physical scientists, all other"," 80,593 "," 1,647 "," 90,389 "," 2,966 "," 68,012 "," 3,546 ", - , ** , - , ** , - , ** ," 80,593 "," 1,647 "," 90,389 "," 2,966 "," 68,012 "," 3,546 ",
Economists," 110,190 "," 7,693 "," 111,789 "," 10,025 "," 105,103 "," 9,673 ", - , ** , - , ** , - , ** ," 110,190 "," 7,693 "," 111,789 "," 10,025 "," 105,103 "," 9,673 ",
Survey researchers," 64,491 "," 19,815 "," 23,794 "," 60,511 "," 70,550 "," 22,551 "," 21,948 "," 56,315 ", - , ** , - , ** ," 80,037 "," 27,999 "," 45,341 "," 90,835 "," 80,386 "," 27,658 ",
Psychologists," 73,085 "," 2,749 "," 90,586 "," 3,924 "," 69,436 "," 2,277 ", - , ** , - , ** , - , ** ," 73,085 "," 2,749 "," 90,586 "," 3,924 "," 69,436 "," 2,277 ",
Urban and regional planners," 70,961 "," 4,423 "," 74,909 "," 5,051 "," 65,413 "," 3,280 "," 54,712 "," 9,651 "," 54,354 "," 2,644 "," 61,518 "," 22,331 "," 72,606 "," 4,920 "," 75,510 "," 5,174 "," 65,617 "," 3,469 ",
"Miscellaneous social scientists and related workers, including sociologists"," 62,944 "," 6,147 "," 69,262 "," 8,042 "," 59,770 "," 7,197 "," 36,313 "," 8,797 "," 39,817 "," 27,402 "," 26,913 "," 18,657 "," 67,148 "," 4,637 "," 72,099 "," 7,369 "," 63,422 "," 6,012 ",
Agricultural and food science technicians," 45,139 "," 3,070 "," 49,623 "," 4,266 "," 41,026 "," 2,094 "," 44,494 "," 4,060 "," 49,299 "," 3,692 "," 39,689 "," 5,159 "," 46,237 "," 4,344 "," 52,270 "," 15,897 "," 43,025 "," 4,330 ",
Biological technicians," 50,515 "," 3,123 "," 55,767 "," 7,835 "," 42,650 "," 7,204 "," 45,982 "," 3,470 "," 50,906 "," 3,774 "," 41,204 "," 1,212 "," 58,176 "," 5,535 "," 60,984 "," 5,172 "," 55,350 "," 8,950 ",
Chemical technicians," 54,636 "," 3,142 "," 56,195 "," 2,267 "," 49,996 "," 2,456 "," 52,090 "," 3,257 "," 53,842 "," 4,007 "," 47,983 "," 5,015 "," 60,770 "," 2,532 "," 62,902 "," 3,840 "," 51,569 "," 5,340 ",
Geological and petroleum technicians," 72,869 "," 9,506 "," 75,015 "," 9,784 "," 70,152 "," 21,476 "," 62,153 "," 6,445 "," 62,337 "," 11,420 "," 62,002 "," 5,306 "," 89,561 "," 10,697 "," 89,160 "," 19,614 "," 90,559 "," 21,584 ",
Nuclear technicians," 84,688 "," 8,513 "," 87,628 "," 10,324 "," 78,893 "," 18,344 "," 82,521 "," 7,717 "," 82,445 "," 8,329 "," 85,640 "," 20,375 "," 91,415 "," 23,994 "," 92,311 "," 44,864 "," 68,304 "," 31,585 ",
Social science research assistants," 41,639 "," 6,306 "," 50,678 "," 28,387 "," 41,396 "," 5,142 "," 41,187 "," 3,095 "," 93,262 "," 20,764 "," 40,963 "," 3,831 "," 51,506 "," 31,782 ", - , ** ," 61,065 "," 35,788 ",
"Miscellaneous life, physical, and social science technicians"," 45,592 "," 1,560 "," 47,783 "," 3,384 "," 43,026 "," 2,180 "," 49,491 "," 2,659 "," 51,142 "," 1,970 "," 46,263 "," 4,010 "," 41,864 ", 897 ," 42,321 "," 2,612 "," 41,391 "," 1,408 ",
"Education, Legal, Community Service, Arts, and Media Occupations"," 51,605 ", 93 ," 60,766 ", 196 ," 48,507 ", 269 ," 36,518 ", 249 ," 46,184 ", 555 ," 32,063 ", 263 ," 55,327 ", 174 ," 64,152 ", 687 ," 51,646 ", 111 ,
Community and Social Service Occupations," 45,306 ", 244 ," 46,553 ", 439 ," 44,390 ", 592 ," 36,797 ", 335 ," 37,962 "," 1,709 "," 36,421 ", 368 ," 47,655 ", 417 ," 50,122 ", 424 ," 46,995 ", 290 ,
Counselors," 46,258 ", 408 ," 47,145 "," 1,011 "," 45,922 ", 528 ," 35,958 ", 699 ," 36,543 "," 1,220 "," 35,650 ", 947 ," 49,032 ", 762 ," 51,005 ", 634 ," 47,885 ", 966 ,
Social workers," 45,366 ", 386 ," 45,359 "," 1,063 "," 45,367 ", 421 ," 37,265 ", 696 ," 38,897 "," 4,126 "," 37,148 ", 619 ," 47,101 ", 394 ," 47,082 "," 1,131 "," 47,104 ", 412 ,
Probation officers and correctional treatment specialists," 49,780 "," 1,641 "," 50,161 "," 1,896 "," 49,373 "," 2,418 "," 42,942 "," 2,207 "," 44,129 "," 5,330 "," 42,781 "," 2,107 "," 51,572 "," 1,354 "," 51,794 "," 1,949 "," 51,404 "," 1,771 ",
Social and human service assistants," 38,711 "," 1,439 "," 40,257 "," 2,762 "," 38,353 "," 1,536 "," 34,421 "," 1,768 "," 31,493 "," 1,249 "," 35,276 "," 1,252 "," 42,574 "," 1,565 "," 48,911 "," 4,970 "," 41,971 ", 906 ,
"Miscellaneous community and social service specialists, including health educators and community health workers"," 46,248 "," 1,571 "," 49,645 "," 2,473 "," 44,155 "," 2,908 "," 40,824 "," 2,090 "," 47,204 "," 8,236 "," 38,844 "," 4,022 "," 50,385 "," 1,653 "," 51,807 "," 6,607 "," 49,280 "," 4,223 ",
Clergy," 45,983 ", 662 ," 46,662 ", 637 ," 42,010 "," 1,055 "," 38,366 "," 2,013 "," 39,354 "," 2,344 "," 35,027 "," 5,334 "," 48,568 "," 1,396 "," 49,667 "," 1,265 "," 45,501 "," 2,255 ",
"Directors, religious activities and education"," 45,590 "," 2,480 "," 54,011 "," 4,387 "," 41,286 "," 1,249 "," 36,772 "," 2,879 "," 41,465 "," 7,967 "," 35,363 "," 3,852 "," 50,491 "," 2,437 "," 56,856 "," 3,503 "," 44,419 "," 3,384 ",
"Religious workers, all other"," 35,911 "," 1,077 "," 39,134 "," 4,802 "," 33,059 "," 3,461 "," 32,072 "," 3,306 "," 27,632 "," 5,633 "," 33,259 "," 4,091 "," 37,497 "," 4,104 "," 43,606 "," 5,659 "," 32,902 "," 4,458 ",
Legal Occupations," 88,485 "," 2,092 "," 122,030 "," 1,076 "," 66,059 ", 800 ," 47,299 ", 786 ," 55,562 "," 3,543 "," 46,521 ", 777 ," 102,428 "," 1,478 "," 126,856 "," 1,985 "," 84,682 "," 2,070 ",
Lawyers," 122,082 ", 900 ," 136,079 "," 2,887 "," 102,475 "," 2,876 "," 80,311 "," 9,475 "," 89,131 "," 11,955 "," 70,808 "," 5,285 "," 122,301 "," 2,418 "," 136,490 "," 3,048 "," 103,673 "," 3,775 ",
Judicial law clerks," 56,193 "," 6,347 "," 56,766 "," 12,297 "," 55,501 "," 8,823 "," 40,783 "," 3,775 "," 55,478 "," 10,203 "," 40,075 "," 5,333 "," 61,109 "," 6,076 "," 65,016 "," 20,381 "," 60,836 "," 5,785 ",
"Judges, magistrates, and other judicial workers"," 103,129 "," 5,685 "," 125,071 "," 6,191 "," 81,109 "," 7,645 "," 51,313 "," 3,574 "," 80,400 "," 11,696 "," 42,349 "," 9,383 "," 120,250 "," 5,261 "," 131,437 "," 5,824 "," 101,107 "," 7,136 ",
Paralegals and legal assistants," 49,044 "," 1,174 "," 51,308 "," 1,620 "," 48,568 "," 1,304 "," 46,685 ", 849 ," 46,937 "," 7,211 "," 46,670 ", 900 ," 51,589 ", 825 ," 52,857 "," 3,690 "," 51,401 ", 936 ,
Miscellaneous legal support workers," 51,502 ", 993 ," 67,023 "," 5,307 "," 47,194 "," 2,077 "," 46,539 "," 1,691 "," 52,212 "," 4,052 "," 44,724 "," 2,646 "," 64,299 "," 4,892 "," 78,897 "," 6,462 "," 55,210 "," 6,386 ",
"Education, Training, and Library Occupations"," 50,548 ", 125 ," 58,109 ", 904 ," 47,397 ", 207 ," 26,780 ", 373 ," 46,423 ", 939 ," 23,942 ", 467 ," 52,363 ", 118 ," 60,358 ", 282 ," 51,027 ", 130 ,
Postsecondary teachers," 68,814 "," 1,222 "," 75,765 ", 881 ," 62,023 ", 631 ," 45,557 "," 2,623 "," 52,340 "," 4,895 "," 37,262 "," 1,973 "," 70,584 ", 532 ," 77,320 "," 1,076 "," 63,639 "," 1,573 ",
Preschool and kindergarten teachers," 26,314 ", 448 ," 30,092 "," 2,997 "," 26,246 ", 455 ," 21,768 ", 345 ," 25,056 "," 8,885 "," 21,748 ", 338 ," 34,797 "," 1,406 "," 30,835 "," 1,475 "," 35,039 "," 1,256 ",
Elementary and middle school teachers," 51,029 ", 148 ," 53,811 ", 730 ," 50,423 ", 170 ," 30,086 "," 1,564 "," 37,010 "," 2,862 "," 26,864 ", 980 ," 51,382 ", 144 ," 54,469 ", 742 ," 50,815 ", 160 ,
Secondary school teachers," 53,451 ", 718 ," 56,222 ", 640 ," 51,950 ", 406 ," 35,574 "," 4,412 "," 41,026 "," 2,148 "," 29,202 "," 3,497 "," 53,941 ", 702 ," 56,501 ", 666 ," 52,167 ", 400 ,
Special education teachers," 49,774 "," 1,033 "," 50,656 "," 1,492 "," 49,543 "," 1,175 "," 21,943 "," 1,455 "," 36,299 "," 4,155 "," 21,043 "," 1,269 "," 51,310 ", 597 ," 51,846 "," 1,511 "," 51,226 ", 623 ,
Other teachers and instructors," 47,731 "," 1,621 "," 53,507 "," 2,856 "," 41,711 ", 706 ," 43,158 "," 2,789 "," 51,628 "," 1,034 "," 36,969 "," 1,516 "," 51,100 ", 944 ," 56,980 "," 3,436 "," 46,771 "," 2,363 ",
"Archivists, curators, and museum technicians"," 49,827 "," 2,624 "," 53,542 "," 3,828 "," 46,087 "," 1,783 "," 46,800 "," 5,658 "," 51,153 "," 1,193 "," 40,741 "," 6,479 "," 50,278 "," 2,424 "," 56,590 "," 6,841 "," 46,915 "," 2,137 ",
Librarians," 51,559 ", 599 ," 58,136 "," 2,511 "," 50,791 ", 667 ," 32,382 "," 4,677 "," 41,489 "," 5,642 "," 31,437 "," 2,520 "," 53,604 "," 1,622 "," 59,230 "," 2,436 "," 52,260 ", 832 ,
Library technicians," 31,620 "," 2,456 "," 45,951 "," 9,881 "," 29,100 "," 3,643 "," 26,300 "," 2,337 "," 39,132 "," 11,470 "," 25,132 "," 2,986 "," 41,407 "," 5,934 "," 49,712 "," 8,413 "," 39,649 "," 4,712 ",
Teacher assistants," 23,371 ", 526 ," 32,485 "," 3,659 "," 22,364 ", 254 ," 22,455 ", 327 ," 37,439 "," 3,156 "," 21,928 ", 266 ," 26,532 "," 1,017 "," 29,910 "," 1,738 "," 25,794 "," 1,117 ",
"Other education, training, and library workers"," 54,497 "," 2,424 "," 60,111 "," 4,248 "," 52,213 "," 1,697 "," 40,296 "," 2,624 "," 41,795 "," 8,512 "," 37,334 "," 3,861 "," 57,671 "," 2,420 "," 61,843 "," 4,919 "," 56,386 "," 1,867 ",
"Arts, Design, Entertainment, Sports, and Media Occupations"," 53,273 ", 986 ," 57,268 ", 930 ," 50,621 ", 383 ," 45,524 ", 690 ," 50,851 ", 522 ," 37,393 "," 1,270 "," 59,118 "," 1,067 "," 61,879 ", 529 ," 55,123 ", 988 ,
Artists and related workers," 46,270 "," 2,293 "," 52,211 "," 2,976 "," 37,325 "," 3,248 "," 36,652 "," 2,216 "," 43,378 "," 5,420 "," 25,507 "," 3,918 "," 52,891 "," 5,406 "," 61,277 "," 3,321 "," 47,067 "," 4,835 ",
Designers," 52,627 "," 1,072 "," 60,862 ", 762 ," 47,450 "," 1,004 "," 46,629 "," 1,061 "," 53,127 "," 2,568 "," 37,296 "," 1,278 "," 58,900 "," 1,749 "," 65,221 "," 2,233 "," 52,921 "," 1,735 ",
Actors," 42,126 "," 6,770 "," 45,691 "," 11,329 "," 36,570 "," 10,259 "," 40,240 "," 14,232 "," 41,371 "," 16,589 "," 31,180 "," 17,164 "," 45,536 "," 7,939 "," 47,778 "," 10,511 "," 40,284 "," 11,295 ",
Producers and directors," 71,162 "," 1,989 "," 72,860 "," 4,811 "," 67,908 "," 3,701 "," 60,808 "," 4,613 "," 60,027 "," 7,902 "," 69,338 "," 8,282 "," 75,599 "," 3,139 "," 80,484 "," 4,732 "," 67,407 "," 4,265 ",
"Athletes, coaches, umpires, and related workers"," 48,594 "," 2,619 "," 50,618 ", 768 ," 42,209 "," 2,593 "," 45,169 "," 5,777 "," 46,264 "," 1,577 "," 40,390 "," 6,962 "," 50,348 "," 1,034 "," 51,539 ", 879 ," 44,565 "," 3,559 ",
Dancers and choreographers," 36,605 "," 10,658 "," 51,648 "," 2,968 "," 25,745 "," 13,365 "," 37,967 "," 8,949 "," 50,967 "," 2,535 "," 35,123 "," 18,861 "," 24,674 "," 23,847 "," 54,099 "," 69,744 "," 21,896 "," 16,542 ",
"Musicians, singers, and related workers"," 42,086 "," 2,339 "," 42,116 "," 2,708 "," 41,969 "," 5,634 "," 36,810 "," 5,673 "," 40,076 "," 6,664 "," 32,661 "," 4,633 "," 45,455 "," 4,009 "," 45,137 "," 5,479 "," 45,850 "," 4,480 ",
"Entertainers and performers, sports and related workers, all other"," 40,502 "," 3,222 "," 41,488 "," 6,792 "," 37,111 "," 10,712 "," 41,942 "," 6,066 "," 45,896 "," 6,781 "," 34,401 "," 12,687 "," 36,780 "," 3,448 "," 36,695 "," 4,502 "," 37,776 "," 12,974 ",
Announcers," 46,925 "," 5,836 "," 46,685 "," 6,414 "," 48,887 "," 9,370 "," 41,056 "," 3,473 "," 40,669 "," 7,915 "," 41,294 "," 2,028 "," 51,943 "," 4,039 "," 60,131 "," 19,914 "," 51,150 "," 1,336 ",
"News analysts, reporters and correspondents"," 58,790 "," 3,869 "," 60,708 "," 2,577 "," 55,152 "," 5,345 "," 38,368 "," 5,353 "," 39,207 "," 5,250 "," 36,630 "," 19,450 "," 60,880 "," 1,771 "," 61,590 "," 2,358 "," 57,648 "," 6,531 ",
Public relations specialists," 67,259 "," 3,973 "," 79,679 "," 6,947 "," 64,112 "," 3,669 "," 53,025 "," 5,448 "," 52,470 "," 6,690 "," 53,697 "," 12,018 "," 71,461 "," 2,419 "," 82,917 "," 5,656 "," 66,512 "," 3,562 ",
Editors," 56,642 "," 1,513 "," 60,245 "," 2,756 "," 53,644 "," 2,472 "," 40,299 "," 5,018 "," 48,161 "," 6,869 "," 35,978 "," 1,254 "," 60,180 "," 1,678 "," 62,269 "," 3,669 "," 56,730 "," 1,948 ",
Technical writers," 71,989 "," 1,758 "," 74,574 "," 3,566 "," 70,749 "," 2,494 "," 61,507 "," 4,224 "," 66,034 "," 5,511 "," 51,984 "," 6,600 "," 75,690 "," 3,247 "," 79,552 "," 6,432 "," 72,498 "," 5,636 ",
Writers and authors," 56,937 "," 2,358 "," 60,644 "," 3,602 "," 55,074 "," 3,827 "," 42,074 "," 6,416 "," 44,943 "," 14,519 "," 41,617 "," 6,780 "," 60,813 ", 979 ," 62,460 "," 3,716 "," 59,193 "," 3,690 ",
Miscellaneous media and communication workers," 43,936 "," 3,706 "," 47,229 "," 5,571 "," 42,054 "," 2,355 "," 40,290 "," 3,884 "," 41,868 "," 5,500 "," 37,435 "," 5,526 "," 49,082 "," 4,460 "," 51,295 "," 3,620 "," 46,485 "," 5,368 ",
"Miscellaneous media and communications equipment workers, including broadcast and sound engineering technicians and radio operators"," 56,152 "," 2,695 "," 56,899 "," 3,659 "," 47,195 "," 4,279 "," 56,354 "," 3,894 "," 57,032 "," 4,050 "," 46,159 "," 2,724 "," 55,667 "," 6,669 "," 56,562 "," 7,439 "," 51,155 "," 6,253 ",
Photographers," 38,068 "," 2,852 "," 42,113 "," 2,106 "," 31,685 ", 972 ," 34,512 "," 2,925 "," 36,936 "," 4,251 "," 31,134 "," 1,711 "," 41,736 "," 1,882 "," 47,374 "," 4,464 "," 32,172 "," 2,781 ",
"Television, video, and motion picture camera operators and editors"," 52,537 "," 4,249 "," 55,241 "," 5,116 "," 51,055 "," 4,659 "," 50,043 "," 9,970 "," 51,046 "," 7,653 "," 21,272 "," 25,811 "," 55,193 "," 4,989 "," 56,848 "," 5,018 "," 51,913 "," 4,191 ",
Healthcare Practitioners and Technical Occupations," 62,966 ", 565 ," 82,688 "," 1,573 "," 60,308 ", 184 ," 47,068 ", 263 ," 51,634 ", 370 ," 46,144 ", 270 ," 79,938 ", 707 ," 110,669 "," 1,160 "," 71,749 ", 241 ,
Chiropractors," 80,739 "," 7,159 "," 86,654 "," 9,992 "," 60,346 "," 9,434 "," 31,798 "," 12,128 "," 120,298 "," 148,588 "," 31,071 "," 5,760 "," 80,916 "," 6,639 "," 86,640 "," 9,981 "," 61,341 "," 9,567 ",
Dentists," 150,132 "," 6,339 "," 158,810 "," 10,183 "," 115,473 "," 9,992 ", - , ** , - , ** , - , ** ," 150,132 "," 6,339 "," 158,810 "," 10,183 "," 115,473 "," 9,992 ",
Dietitians and nutritionists," 50,356 ", 903 ," 51,048 "," 5,296 "," 50,284 "," 1,055 "," 31,650 "," 1,610 "," 42,038 "," 7,141 "," 30,812 "," 1,782 "," 54,833 "," 1,427 "," 57,071 "," 8,254 "," 54,633 "," 1,477 ",
Optometrists," 117,397 "," 9,354 "," 125,489 "," 7,937 "," 101,000 "," 2,746 ", - , ** , - , ** , - , ** ," 117,397 "," 9,354 "," 125,489 "," 7,937 "," 101,000 "," 2,746 ",
Pharmacists," 120,948 ", 296 ," 122,435 "," 1,336 "," 118,803 "," 2,208 "," 36,987 "," 8,558 "," 55,802 "," 31,046 "," 31,973 "," 4,392 "," 121,177 ", 286 ," 122,716 "," 1,880 "," 120,115 ", 932 ,
Physicians and surgeons," 201,552 ", 405 ," 231,455 "," 9,842 "," 166,575 "," 7,097 "," 250,349 "," 4,042 "," 250,225 "," 13,968 "," 250,533 ", 561 ," 201,484 ", 411 ," 231,170 "," 9,777 "," 165,485 "," 7,112 ",
Physician assistants," 102,074 ", 944 ," 111,673 "," 4,307 "," 100,587 ", 960 ," 46,167 "," 13,442 "," 78,980 "," 39,910 "," 40,722 "," 7,158 "," 102,716 "," 2,928 "," 112,122 "," 5,119 "," 101,253 ", 836 ,
Podiatrists," 126,617 "," 28,201 "," 140,350 "," 34,217 "," 101,644 "," 18,879 ", - , ** , - , ** , - , ** ," 126,617 "," 28,201 "," 140,350 "," 34,217 "," 101,644 "," 18,879 ",
Audiologists," 72,817 "," 3,365 "," 74,127 "," 8,255 "," 72,156 "," 4,313 "," 49,717 "," 9,456 ", - , ** ," 48,974 "," 5,121 "," 73,699 "," 4,921 "," 74,212 "," 8,000 "," 73,022 "," 8,530 ",
Occupational therapists," 70,839 ", 774 ," 80,854 "," 4,920 "," 70,222 "," 1,204 "," 52,063 "," 5,499 "," 50,695 "," 31,212 "," 52,443 "," 6,198 "," 71,792 ", 851 ," 81,891 "," 2,610 "," 71,116 ", 792 ,
Physical therapists," 78,371 "," 1,901 "," 85,357 "," 1,371 "," 75,102 "," 1,189 "," 52,158 "," 3,327 "," 57,723 "," 10,562 "," 51,190 "," 2,474 "," 80,190 ", 597 ," 86,067 "," 1,121 "," 76,015 ", 799 ,
Radiation therapists," 88,337 "," 8,317 "," 95,008 "," 6,376 "," 79,990 "," 9,207 "," 88,536 "," 12,820 "," 91,183 "," 22,745 "," 87,871 "," 18,228 "," 87,475 "," 10,109 "," 96,557 "," 7,136 "," 77,033 "," 9,470 ",
Recreational therapists," 40,565 "," 3,537 "," 41,656 "," 14,765 "," 39,719 "," 4,629 "," 31,338 "," 1,317 "," 41,198 "," 7,462 "," 30,729 "," 2,200 "," 43,666 "," 6,445 "," 41,801 "," 25,536 "," 44,851 "," 6,164 ",
Respiratory therapists," 56,758 ", 776 ," 61,429 ", 978 ," 53,441 "," 2,664 "," 55,814 "," 1,098 "," 60,782 "," 1,422 "," 51,888 "," 1,712 "," 60,696 ", 868 ," 62,622 "," 2,865 "," 56,598 "," 2,669 ",
Speech-language pathologists," 64,271 "," 1,842 "," 75,360 "," 6,395 "," 63,522 "," 1,923 "," 31,503 "," 9,155 ", - , ** ," 31,802 "," 9,992 "," 64,965 "," 1,631 "," 75,564 "," 5,875 "," 64,243 "," 1,891 ",
"Miscellaneous therapists, including exercise physiologists"," 50,962 ", 693 ," 55,337 "," 6,121 "," 50,362 ", 956 ," 44,741 "," 5,870 "," 36,803 "," 14,069 "," 45,695 "," 5,698 "," 51,357 ", 601 ," 57,456 "," 7,780 "," 50,658 ", 707 ,
Veterinarians," 90,063 "," 4,412 "," 103,622 "," 10,242 "," 82,228 "," 2,875 ", - , ** , - , ** , - , ** ," 90,063 "," 4,412 "," 103,622 "," 10,242 "," 82,228 "," 2,875 ",
Registered nurses," 66,038 ", 300 ," 71,372 ", 644 ," 65,476 ", 307 ," 60,743 ", 299 ," 66,693 "," 1,168 "," 60,314 ", 321 ," 70,481 ", 245 ," 74,942 "," 1,953 "," 70,159 ", 252 ,
Nurse anesthetists," 160,522 "," 3,215 "," 176,957 "," 7,954 "," 151,667 "," 3,345 "," 51,064 "," 74,085 "," 119,167 "," 105,943 "," 46,350 "," 33,562 "," 160,915 "," 2,393 "," 177,315 "," 7,254 "," 152,056 "," 4,334 ",
Nurse midwives," 101,552 "," 7,702 ", - , ** ," 101,552 "," 7,702 ", - , ** , - , ** , - , ** ," 101,855 "," 8,255 ", - , ** ," 101,855 "," 8,255 ",
Nurse practitioners," 100,653 ", 626 ," 111,157 "," 1,909 "," 100,042 "," 1,656 "," 95,169 "," 10,180 "," 74,185 "," 87,757 "," 95,229 "," 9,849 "," 100,785 ", 610 ," 111,183 "," 1,927 "," 100,179 "," 1,140 ",
"Health diagnosing and treating practitioners, all other"," 56,227 "," 11,184 "," 65,898 "," 26,368 "," 51,321 "," 5,620 "," 50,318 "," 27,841 "," 36,382 "," 107,278 "," 51,095 "," 16,032 "," 60,357 "," 11,444 "," 66,629 "," 28,996 "," 51,550 "," 7,799 ",
Clinical laboratory technologists and technicians," 50,294 ", 738 ," 52,217 "," 1,356 "," 48,766 "," 1,717 "," 40,780 ", 578 ," 41,931 "," 1,751 "," 40,391 ", 732 ," 60,048 "," 1,701 "," 61,882 "," 2,153 "," 58,504 "," 2,142 ",
Dental hygienists," 58,681 "," 2,764 "," 71,206 "," 10,870 "," 57,418 "," 2,500 "," 52,136 "," 1,245 "," 65,591 "," 9,139 "," 51,876 ", 957 ," 66,530 "," 2,547 "," 92,295 "," 16,738 "," 65,840 "," 2,648 ",
Diagnostic related technologists and technicians," 60,156 ", 765 ," 65,224 "," 1,541 "," 56,746 "," 1,049 "," 56,805 "," 1,114 "," 62,296 "," 2,224 "," 54,081 "," 2,812 "," 65,148 "," 3,254 "," 68,523 "," 3,291 "," 61,629 ", 948 ,
Emergency medical technicians and paramedics," 46,154 ", 939 ," 50,317 "," 1,091 "," 41,090 ", 780 ," 45,530 ", 983 ," 49,751 "," 2,238 "," 40,759 ", 783 ," 50,843 "," 2,554 "," 52,308 "," 5,241 "," 46,640 "," 7,667 ",
Health practitioner support technologists and technicians," 34,690 ", 717 ," 38,089 "," 1,656 "," 33,237 ", 856 ," 34,600 ", 793 ," 38,296 "," 1,727 "," 33,150 ", 947 ," 35,052 "," 1,658 "," 37,177 "," 4,090 "," 33,697 "," 2,264 ",
Licensed practical and licensed vocational nurses," 40,102 ", 306 ," 42,172 "," 1,436 "," 39,700 ", 659 ," 39,682 ", 673 ," 41,633 "," 1,036 "," 39,230 ", 682 ," 46,635 "," 2,549 "," 47,459 "," 7,575 "," 45,762 "," 3,471 ",
Medical records and health information technicians," 39,072 "," 1,112 "," 39,794 "," 3,936 "," 39,024 "," 1,126 "," 37,443 ", 871 ," 37,079 "," 3,353 "," 37,479 ", 959 ," 45,190 "," 3,127 "," 42,035 "," 8,209 "," 45,470 "," 3,014 ",
"Opticians, dispensing"," 39,335 "," 2,516 "," 50,828 "," 1,763 "," 36,014 "," 1,117 "," 36,762 "," 1,194 "," 46,765 "," 6,956 "," 35,069 "," 2,613 "," 52,391 "," 6,380 "," 57,292 "," 13,147 "," 41,995 "," 5,764 ",
Miscellaneous health technologists and technicians," 41,870 ", 866 ," 51,460 "," 1,518 "," 37,239 "," 1,690 "," 37,287 "," 1,267 "," 45,630 "," 3,632 "," 35,023 "," 2,939 "," 59,394 "," 5,025 "," 66,090 "," 14,393 "," 55,164 "," 4,412 ",
Other healthcare practitioners and technical occupations," 60,265 "," 3,470 "," 62,966 "," 3,737 "," 55,104 "," 3,072 "," 53,046 "," 3,924 "," 61,507 "," 5,513 "," 41,215 "," 3,428 "," 62,363 "," 2,505 "," 64,810 "," 3,687 "," 61,085 "," 2,904 ",
