,company_id,company_name,last_year_of_employment,location,job_type,job_level,department,job_title,equal_opportunity,leadership_female_representation,women_management_opportunities,maternity_adoptive_leave,family_growth_support,paid_time_off,flexible_work_hours,ability_to_telecommute,salary_satisfaction,sponsorship_or_mentorship_program,learning_opportunities,wellness_initiatives,employer_responsiveness,people_you_work_with,social_activities_environment,overall_satisfaction,asked_pay_raise_last_12_months,think_pt_buiz_doing_enough_to_address_gender_pay_gap,think_gov_doing_enough_to_address_gender_pay_gap,confidence_in_ability_to_negotiate_salary,sex_orientation,gender,marital_status,children,education,salary,opportunity,family,schedule_flex,enrichment,culture
1091,1091,Televisão Independente,2020,Santarém,Part-time,Executive,Admin,QA Analyst,4.56038868685633,3,7,3.0,6,3.0,2.0,5,3.0,5,1.0,4.0,3,4.0,5,3.99,1,1,1,2.0,Heterosexual,Male,1,1,1,19655.8,4.85,4.5,3.33,3.25,4.0
1092,1092,EFACEC,2020,Guarda,Other,Mid-Level,Business Development,Security Engineer,3.2149533522293052,9,4,4.0,4,3.0,2.0,6,4.0,5,3.0,3.0,4,4.0,4,4.16,0,1,1,3.0,Heterosexual,Female,0,0,1,11267.14,5.4,4.0,3.67,3.75,4.0
1093,1093,Conservas Ramirez,2004,Aveiro,Internship,Senior-Level,IT,Assistant Property Manager,3.771037895622326,5,4,3.0,5,3.0,4.0,8,0.0,6,3.0,4.0,4,1.0,11,4.37,0,0,0,3.0,Gay/Lesbian,Female,1,1,2,23323.31,4.26,4.0,5.0,3.25,5.33
1094,1094,Uniplaces,2015,Évora,Internship,Senior-Level,Customer Service,ESL TESOL Teacher,3.5811280134126573,8,8,2.0,6,4.0,3.0,7,2.0,7,3.0,2.0,6,3.0,7,4.81,1,1,0,5.0,Heterosexual,Male,0,0,0,22408.66,6.53,4.0,4.67,3.5,5.33
1095,1095,EFACEC,2020,Coimbra,Part-time,Executive,Other,Car Salesperson,3.638238438031101,4,4,2.0,8,3.0,3.0,5,3.0,5,1.0,2.0,5,3.0,4,3.86,2,0,1,4.0,Other,Male,1,0,2,10979.1,3.88,5.0,3.67,2.75,4.0
1096,1096,Tupam editores,2020,Porto,Internship,Senior-Level,Marketing,Legal Assistant,3.718694145965501,5,7,3.0,5,3.0,3.0,5,2.0,7,4.0,4.0,4,5.0,5,4.37,0,0,0,2.0,Heterosexual,Female,1,1,0,21630.78,5.24,4.0,3.67,4.25,4.67
1097,1097,Grupo José de Mello,2002,Castelo Branco,Full-time,Early Career,Management,Sonographer,3.2359673741933173,6,12,4.0,5,3.0,3.0,3,0.0,5,3.0,3.0,7,4.0,8,4.73,1,1,1,2.0,Gay/Lesbian,Female,1,1,1,18905.16,7.08,4.5,3.0,2.75,6.33
1098,1098,Sovena Group,2020,Aveiro,Other,Senior-Level,Management,Security Guard,3.2029285672563335,7,6,5.0,6,3.0,3.0,7,0.0,6,2.0,1.0,6,1.0,10,4.63,2,1,1,2.0,Gay/Lesbian,Female,0,0,1,15759.44,5.4,5.5,4.33,2.25,5.67
1099,1099,Move Interactive,2007,Madeira,Internship,Executive,Business Development,Medical Sales Representative,2.4985213194137548,7,4,3.0,3,5.0,3.0,7,4.0,7,4.0,4.0,8,4.0,5,4.58,1,0,0,3.0,Gay/Lesbian,Male,0,1,0,28893.28,4.5,3.0,5.0,4.75,5.67
1100,1100,Medinfar,2016,Castelo Branco,Contract,Mid-Level,Management,Superintendent,2.505025149931598,5,9,4.0,6,3.0,2.0,3,3.0,7,4.0,3.0,8,2.0,8,4.68,2,1,1,3.0,Other,Non-Binary,0,1,1,33252.27,5.5,5.0,2.67,4.25,6.0
1101,1101,Sumol + Compal,2020,Faro,Internship,Mid-Level,Communications,IT Support,2.503832131423902,3,6,4.0,7,4.0,4.0,6,4.0,6,3.0,3.0,7,4.0,9,4.93,2,1,1,3.0,Heterosexual,Male,0,1,2,17002.24,3.83,5.5,4.67,4.0,6.67
1102,1102,Galp Energia,2008,Portalegre,Other,Senior-Level,Legal,PHP Developer,3.8910713867547004,5,7,2.0,8,3.0,3.0,6,3.0,7,1.0,3.0,7,3.0,6,4.63,0,1,0,4.0,Heterosexual,Female,0,1,1,17389.95,5.3,5.0,4.0,3.5,5.33
1103,1103,Pingo Doce,2009,Aveiro,Temporary,Mid-Level,Production,Nurse Educator,1.9954428807623814,5,5,3.0,5,3.0,4.0,9,2.0,5,5.0,4.0,6,3.0,6,4.47,0,0,1,1.0,Heterosexual,Female,1,0,0,25796.6,4.0,4.0,5.33,4.0,5.0
1104,1104,Galp Energia,2020,Coimbra,Other,Executive,Research & Development,Technical Engineer,0.742941692000842,9,5,4.0,8,2.0,3.0,6,4.0,5,3.0,4.0,5,2.0,6,4.58,0,0,1,4.0,Heterosexual,Female,0,0,0,10409.54,4.91,6.0,3.67,4.0,4.33
1105,1105,Cofina,2005,Leiria,Part-time,Executive,IT,Mobile Developer,3.757656595847201,4,8,3.0,5,3.0,3.0,6,2.0,5,2.0,5.0,7,3.0,3,4.22,2,0,1,2.0,Gay/Lesbian,Female,1,1,2,10642.71,5.25,4.0,4.0,3.5,4.33
1106,1106,UMM,2020,Viana do Castelo,Contract,Mid-Level,Tech,Restaurant Server,0.6302396584557477,6,3,2.0,6,3.0,0.0,3,4.0,6,2.0,5.0,3,3.0,6,3.49,1,1,0,4.0,Heterosexual,Female,1,1,2,19737.88,3.21,4.0,2.0,4.25,4.0
1107,1107,Media Capital,2019,Beja,Other,Mid-Level,Accounting & Finance,Quality Control Technician,3.0850812632014404,6,7,3.0,5,4.0,4.0,5,2.0,5,2.0,5.0,6,1.0,7,4.37,2,1,1,3.0,Heterosexual,Female,0,1,1,15431.45,5.36,4.0,4.33,3.5,4.67
1108,1108,Central de Cervejas,2002,Castelo Branco,Temporary,Mid-Level,Legal,Ramp Agent,3.3007907450479257,6,9,4.0,7,3.0,3.0,5,3.0,9,2.0,3.0,6,2.0,8,4.97,1,0,1,2.0,Heterosexual,Male,0,1,2,25107.16,6.1,5.5,3.67,4.25,5.33
1109,1109,Media Capital,2003,Aveiro,Other,Executive,Production,Guidance Counselor,2.204809039272128,5,8,4.0,8,4.0,2.0,7,4.0,4,5.0,3.0,7,2.0,7,4.95,2,1,1,3.0,Heterosexual,Female,0,0,1,33098.65,5.07,6.0,4.33,4.0,5.33
1110,1110,TIMWE,2020,Braga,Full-time,Mid-Level,Operations,Art Director,2.5035360183518858,5,6,4.0,8,2.0,5.0,4,3.0,4,4.0,4.0,6,3.0,4,4.45,0,0,1,3.0,Gay/Lesbian,Male,1,0,2,16797.75,4.5,6.0,3.67,3.75,4.33
1111,1111,Galp Energia,2008,Bragança,Temporary,Mid-Level,Customer Service,Talent Acquisition Specialist,2.927115830307639,6,7,3.0,6,3.0,1.0,5,1.0,6,4.0,2.0,6,3.0,9,4.41,0,0,1,3.0,Heterosexual,Female,0,1,0,28321.88,5.31,4.5,3.0,3.25,6.0
1112,1112,Novabase,2020,Aveiro,Full-time,Mid-Level,Production,Executive Director,2.8967908122382307,7,7,5.0,6,5.0,1.0,5,3.0,6,3.0,4.0,5,2.0,7,4.69,0,0,1,5.0,Heterosexual,Female,1,1,0,21153.39,5.63,5.5,3.67,4.0,4.67
1113,1113,Semapa,2020,Viana do Castelo,Other,Mid-Level,Operations,Junior Accountant,2.872111285341607,5,6,2.0,9,4.0,2.0,5,2.0,8,4.0,1.0,7,3.0,5,4.51,1,1,1,5.0,Heterosexual,Female,0,1,0,15706.0,4.62,5.5,3.67,3.75,5.0
1114,1114,SIC,2020,Viana do Castelo,Part-time,Early Career,Product,Customer Success Manager,3.7030919821157307,7,5,3.0,5,2.0,4.0,5,4.0,4,2.0,3.0,6,3.0,8,4.36,1,1,0,2.0,Other,Male,1,1,0,29227.18,5.23,4.0,3.67,3.25,5.67
1115,1115,NOS,2020,Évora,Internship,Mid-Level,Customer Service,Clinical Coordinator,0.8633576345442204,5,6,4.0,9,3.0,4.0,6,3.0,7,4.0,3.0,7,5.0,6,5.01,0,1,0,3.0,Heterosexual,Female,0,0,1,31342.37,3.95,6.5,4.33,4.25,6.0
1116,1116,Corticeira Amorim,2020,Madeira,Temporary,Executive,Human Resources,Engagement Manager,4.467587234614067,6,7,4.0,8,4.0,3.0,6,4.0,6,3.0,3.0,9,3.0,11,5.56,1,0,0,3.0,Heterosexual,Female,0,0,2,14926.82,5.82,6.0,4.33,4.0,7.67
1117,1117,TIMWE,2020,Leiria,Contract,Early Career,Communications,Assistant Teacher,2.9238426711373786,8,6,4.0,5,3.0,4.0,7,2.0,5,3.0,4.0,4,2.0,4,4.33,1,1,0,3.0,Gay/Lesbian,Male,0,0,0,6199.45,5.64,4.5,4.67,3.5,3.33
1118,1118,Vista Alegre,2000,Beja,Other,Executive,Business Intelligence,Dishwasher,4.485766680448084,6,5,2.0,4,3.0,3.0,6,3.0,8,3.0,3.0,8,2.0,8,4.48,0,1,1,4.0,Heterosexual,Female,0,1,0,20171.35,5.16,3.0,4.0,4.25,6.0
1119,1119,Lactogal,2020,Madeira,Temporary,Early Career,Business Development,Janitor,1.8119337336764576,4,8,3.0,6,4.0,4.0,6,3.0,3,4.0,4.0,11,5.0,6,4.92,1,1,0,3.0,Heterosexual,Male,0,0,1,29342.55,4.6,4.5,4.67,3.5,7.33
1120,1120,Vista Alegre,2020,Braga,Contract,Executive,IT,Energy Consultant,2.567069984645608,5,6,2.0,6,3.0,3.0,5,3.0,8,3.0,3.0,5,2.0,4,4.02,0,0,1,4.0,Heterosexual,Female,0,1,0,6378.04,4.52,4.0,3.67,4.25,3.67
1121,1121,Critical Software,2020,Setúbal,Part-time,Executive,Tech,Physician,3.1518525891101814,7,5,4.0,5,3.0,3.0,5,4.0,5,3.0,4.0,6,3.0,8,4.58,1,1,1,2.0,Heterosexual,Other,1,1,0,11840.0,5.05,4.5,3.67,4.0,5.67
1122,1122,Media Capital,2020,Santarém,Full-time,Executive,Business Intelligence,Logistics Analyst,3.1958369125052264,5,3,3.0,4,4.0,3.0,6,2.0,6,3.0,2.0,7,1.0,5,3.83,2,1,0,1.0,Bisexual,Female,1,0,2,19536.26,3.73,3.5,4.33,3.25,4.33
1123,1123,Delta Cafés,2000,Castelo Branco,Temporary,Executive,Marketing,Lifeguard,3.620335674538888,9,4,4.0,6,3.0,3.0,7,4.0,4,2.0,4.0,6,3.0,8,4.81,0,1,1,2.0,Heterosexual,Male,1,1,1,29542.09,5.54,5.0,4.33,3.5,5.67
1124,1124,Chipidea,2020,Évora,Full-time,Executive,Engineering,Geologist,0.9842482016234095,5,4,4.0,10,4.0,3.0,8,5.0,3,2.0,3.0,5,2.0,6,4.58,1,1,0,2.0,Heterosexual,Male,1,1,1,21952.35,3.33,7.0,5.0,3.25,4.33
1125,1125,"CTT Correios de Portugal, S.A. (CTT)",2020,Aveiro,Full-time,Senior-Level,Operations,Courtesy Clerk,4.109551611193303,7,5,4.0,6,3.0,4.0,4,3.0,5,2.0,1.0,8,3.0,5,4.42,0,1,0,3.0,Gay/Lesbian,Male,1,1,2,19331.79,5.37,5.0,3.67,2.75,5.33
1126,1126,Delta Cafés,2008,Guarda,Internship,Mid-Level,Other,Video Editor,3.949072400685944,6,8,4.0,5,3.0,2.0,5,3.0,5,3.0,4.0,6,2.0,5,4.38,2,1,1,3.0,Gay/Lesbian,Other,1,0,0,18162.13,5.98,4.5,3.33,3.75,4.33
1127,1127,Vista Alegre,2020,Leiria,Part-time,Mid-Level,Design,Accountant,2.27432235527482,9,6,3.0,6,2.0,4.0,7,4.0,10,4.0,2.0,8,5.0,5,5.12,0,1,1,3.0,Heterosexual,Non-Binary,0,1,2,25069.57,5.76,4.5,4.33,5.0,6.0
1128,1128,TAP Air Portugal,2020,Coimbra,Full-time,Executive,Human Resources,Waiter,2.9143784651869655,6,5,3.0,8,4.0,4.0,7,2.0,9,4.0,5.0,7,2.0,6,5.03,2,1,1,2.0,Gay/Lesbian,Female,1,1,1,18792.73,4.64,5.5,5.0,5.0,5.0
1129,1129,The Navigator Company,2020,Aveiro,Internship,Mid-Level,Other,Architectural Designer,3.5984343994095584,8,4,3.0,6,1.0,2.0,4,1.0,5,3.0,4.0,7,3.0,4,3.99,1,0,1,2.0,Gay/Lesbian,Male,0,0,2,22768.61,5.2,4.5,2.33,3.25,4.67
1130,1130,Continente,2020,Viseu,Internship,Executive,Customer Service,Scrum Master,2.5488103716524138,6,5,4.0,3,5.0,4.0,5,2.0,7,3.0,4.0,7,4.0,6,4.47,0,0,1,4.0,Heterosexual,Male,1,0,0,24969.07,4.52,3.5,4.67,4.0,5.67
1131,1131,The Navigator Company,2020,Lisboa,Internship,Early Career,Admin,Nuclear Medicine Technologist,3.0647063610260883,7,7,1.0,8,3.0,3.0,7,4.0,3,3.0,2.0,5,3.0,4,4.3,1,1,0,4.0,Heterosexual,Female,0,1,0,17148.02,5.69,4.5,4.33,3.0,4.0
1132,1132,Montepio,2003,Viana do Castelo,Internship,Mid-Level,Sales,Test Engineer,1.067655733268361,5,4,4.0,5,3.0,4.0,8,4.0,6,3.0,3.0,8,2.0,4,4.31,1,1,1,2.0,Heterosexual,Female,1,0,2,9930.22,3.36,4.5,5.0,4.0,4.67
1133,1133,TAP Air Portugal,2020,Évora,Part-time,Early Career,Sales,Lineman,4.715668264354561,7,10,4.0,5,2.0,2.0,9,5.0,6,3.0,3.0,10,1.0,4,5.06,0,0,0,2.0,Heterosexual,Male,1,1,0,25420.79,7.24,4.5,4.33,4.25,5.0
1134,1134,"CTT Correios de Portugal, S.A. (CTT)",2020,Bragança,Temporary,Senior-Level,Tech,Produce Clerk,3.33088829168271,4,9,2.0,7,3.0,2.0,7,2.0,5,3.0,4.0,6,3.0,3,4.29,0,0,1,4.0,Heterosexual,Non-Binary,1,0,0,15348.41,5.44,4.5,4.0,3.5,4.0
1135,1135,Martifer,2020,Braga,Full-time,Mid-Level,Accounting & Finance,Full Charge Bookkeeper,2.2820118838269368,10,7,3.0,5,4.0,4.0,4,3.0,5,3.0,3.0,4,0.0,8,4.39,1,1,0,3.0,Heterosexual,Female,1,0,0,17133.17,6.43,4.0,4.0,3.5,4.0
1136,1136,Rádio e Televisão de Portugal,2019,Évora,Contract,Executive,Admin,Sales Manager,3.2146886076753103,5,5,4.0,5,4.0,3.0,4,2.0,5,3.0,4.0,7,3.0,7,4.35,2,1,1,4.0,Heterosexual,Female,0,0,2,14058.88,4.4,4.5,3.67,3.5,5.67
1137,1137,Energias de Portugal (EDP),2018,Guarda,Contract,Mid-Level,Legal,Beauty Adviser,1.9300954899534033,6,7,3.0,6,4.0,4.0,5,0.0,11,4.0,5.0,5,1.0,6,4.56,0,1,0,4.0,Heterosexual,Male,0,0,0,37644.75,4.98,4.5,4.33,5.0,4.0
1138,1138,Corticeira Amorim,2020,Coimbra,Part-time,Executive,Accounting & Finance,Urban Planner,3.6957848216100633,6,5,2.0,7,3.0,3.0,6,3.0,9,3.0,3.0,7,4.0,10,4.98,1,1,1,3.0,Heterosexual,Female,1,1,2,16194.78,4.9,4.5,4.0,4.5,7.0
1139,1139,Unicer Brewery,2020,Évora,Internship,Senior-Level,Sales,Slot Technician,1.5860186648868413,5,8,3.0,6,4.0,2.0,6,2.0,4,3.0,4.0,6,4.0,5,4.32,1,0,1,3.0,Heterosexual,Other,0,0,2,6350.27,4.86,4.5,4.0,3.25,5.0
1140,1140,EFACEC,2000,Viana do Castelo,Full-time,Early Career,IT,Billing Specialist,2.445596198230622,3,7,2.0,6,2.0,2.0,5,3.0,7,2.0,3.0,5,3.0,5,3.85,0,0,0,2.0,Heterosexual,Female,1,0,0,25572.48,4.15,4.0,3.0,3.75,4.33
1141,1141,Sonae,2016,Guarda,Part-time,Senior-Level,Production,Infant Teacher,2.796727588723005,8,5,3.0,6,3.0,3.0,6,1.0,5,4.0,3.0,5,2.0,3,4.07,2,0,0,4.0,Heterosexual,Male,1,0,2,4568.17,5.27,4.5,4.0,3.25,3.33
1142,1142,Quidgest,2020,Madeira,Internship,Executive,Human Resources,Pharmacy Manager,4.253394115730894,8,7,3.0,7,4.0,3.0,5,2.0,6,3.0,2.0,5,5.0,9,5.0,1,0,1,3.0,Gay/Lesbian,Male,0,1,2,23366.47,6.42,5.0,4.0,3.25,6.33
1143,1143,Churchill's Port,2019,Açores,Full-time,Executive,Sales,Solutions Engineer,4.068011730548919,7,4,3.0,8,4.0,3.0,8,2.0,8,3.0,3.0,5,4.0,8,5.04,1,0,0,2.0,Heterosexual,Male,0,1,1,16061.9,5.02,5.5,5.0,4.0,5.67
1144,1144,The Navigator Company,2020,Braga,Other,Early Career,Production,Residential Counselor,3.723361787878318,5,7,3.0,4,5.0,3.0,4,4.0,4,2.0,2.0,9,2.0,3,4.08,0,1,1,3.0,Heterosexual,Non-Binary,0,1,0,20432.26,5.24,3.5,4.0,3.0,4.67
1145,1145,Tranquilidade,2010,Madeira,Temporary,Mid-Level,IT,Teaching Assistant,3.8171723675287086,11,8,3.0,9,4.0,3.0,8,4.0,6,3.0,2.0,5,2.0,8,5.47,0,1,1,3.0,Heterosexual,Male,1,0,1,15030.49,7.61,6.0,5.0,3.75,5.0
1146,1146,Move Interactive,2015,Castelo Branco,Full-time,Mid-Level,Communications,Dietary Aide,3.7421531443289386,4,9,4.0,6,4.0,3.0,5,3.0,8,3.0,3.0,4,3.0,8,4.77,0,1,1,3.0,Heterosexual,Male,0,0,2,27968.7,5.58,5.0,4.0,4.25,5.0
1147,1147,Novabase,2008,Vila Real,Temporary,Early Career,Legal,Recruiting Coordinator,4.535351362717054,4,8,4.0,3,3.0,3.0,7,4.0,7,2.0,4.0,7,2.0,7,4.58,2,1,0,2.0,Heterosexual,Female,1,1,1,9350.93,5.51,3.5,4.33,4.25,5.33
1148,1148,Cofina,2020,Faro,Part-time,Mid-Level,Customer Service,Chiropractor,3.9829092300108453,4,7,3.0,4,3.0,4.0,7,4.0,8,3.0,3.0,5,2.0,9,4.6,2,1,1,4.0,Gay/Lesbian,Non-Binary,1,1,1,19725.06,4.99,3.5,4.67,4.5,5.33
1149,1149,NOS,2018,Aveiro,Temporary,Early Career,Production,Statistician,2.566726754986649,7,6,3.0,7,0.0,5.0,4,4.0,7,3.0,3.0,7,3.0,8,4.69,0,0,1,5.0,Heterosexual,Female,0,1,0,34815.11,5.19,5.0,3.0,4.25,6.0
1150,1150,Iberomoldes,2020,Lisboa,Internship,Early Career,Design,Inventory Manager,2.8035246854403315,8,5,5.0,7,3.0,1.0,4,3.0,5,2.0,3.0,4,3.0,6,4.3,0,1,1,2.0,Heterosexual,Female,0,0,1,19226.61,5.27,6.0,2.67,3.25,4.33
1151,1151,Martifer,2020,Bragança,Internship,Senior-Level,Production,IT Director,2.474676545183072,4,8,3.0,7,3.0,5.0,6,3.0,8,3.0,0.0,4,3.0,5,4.4,2,1,0,1.0,Heterosexual,Female,0,1,2,11901.38,4.82,5.0,4.67,3.5,4.0
1152,1152,Biotecnol,2001,Faro,Internship,Mid-Level,Communications,Naval Architect,3.481351314346171,7,6,4.0,4,4.0,4.0,9,5.0,6,5.0,3.0,6,1.0,3,4.65,2,0,0,4.0,Heterosexual,Female,1,0,0,18424.72,5.49,4.0,5.67,4.75,3.33
1153,1153,Quidgest,2000,Guarda,Contract,Early Career,Business Intelligence,Assembler,4.024369058725038,5,5,5.0,7,4.0,3.0,6,4.0,3,4.0,3.0,5,0.0,10,4.7,1,1,1,1.0,Heterosexual,Male,1,0,1,16965.76,4.67,6.0,4.33,3.5,5.0
1154,1154,Simoldes,2020,Madeira,Internship,Mid-Level,Management,Cook,2.3471281884888016,6,6,4.0,7,4.0,1.0,5,2.0,6,3.0,5.0,5,3.0,7,4.52,2,0,1,4.0,Heterosexual,Male,0,0,1,15802.79,4.78,5.5,3.33,4.0,5.0
1155,1155,Sovena Group,2016,Viseu,Temporary,Mid-Level,Legal,Front Desk Manager,1.0250656651508319,5,4,3.0,7,2.0,2.0,6,3.0,4,3.0,4.0,10,4.0,5,4.3,2,0,1,3.0,Gay/Lesbian,Male,1,1,2,23530.44,3.34,5.0,3.33,3.5,6.33
1156,1156,Continente,2020,Évora,Temporary,Early Career,Engineering,Loan Processor,2.9433044271888744,3,5,5.0,6,3.0,3.0,5,3.0,7,3.0,1.0,6,4.0,4,4.2,2,1,1,2.0,Heterosexual,Non-Binary,0,1,0,33152.06,3.65,5.5,3.67,3.5,4.67
1157,1157,Sonae Indústria,2001,Viana do Castelo,Full-time,Mid-Level,Human Resources,Business Systems Analyst,2.887372430698931,7,4,2.0,7,4.0,3.0,5,4.0,5,2.0,2.0,6,3.0,4,4.14,2,1,1,2.0,Heterosexual,Male,1,0,1,15573.2,4.63,4.5,4.0,3.25,4.33
1158,1158,Rádio e Televisão de Portugal,2010,Bragança,Temporary,Senior-Level,Engineering,Nuclear Engineer,0.5238193792936894,6,5,3.0,7,1.0,2.0,4,2.0,7,0.0,3.0,6,3.0,7,3.9,2,0,1,4.0,Heterosexual,Male,0,0,0,15399.19,3.84,5.0,2.33,3.0,5.33
1159,1159,Grupo José de Mello,2001,Bragança,Full-time,Early Career,Operations,Visual Designer,3.6976494447688646,8,6,3.0,4,3.0,3.0,6,2.0,8,3.0,2.0,7,2.0,4,4.3,2,0,0,3.0,Bisexual,Female,1,1,1,21877.19,5.9,3.5,4.0,3.75,4.33
1160,1160,Cofina,2010,Bragança,Internship,Senior-Level,Other,EMT,1.7454814318209004,4,7,3.0,6,3.0,2.0,11,1.0,10,3.0,2.0,4,4.0,4,4.42,1,0,1,2.0,Heterosexual,Male,0,1,2,21985.24,4.25,4.5,5.33,4.0,4.0
1161,1161,Ambar – Ideas on Paper S.A.,2020,Castelo Branco,Contract,Senior-Level,Sales,Computer Operator,2.1508790901046018,6,8,2.0,8,3.0,3.0,3,2.0,11,3.0,1.0,4,3.0,8,4.53,1,1,0,1.0,Heterosexual,Male,0,0,2,25918.33,5.38,5.0,3.0,4.25,5.0
1162,1162,Cofina,2017,Santarém,Full-time,Early Career,Business Development,IT Technician,4.1057012557926456,9,6,4.0,6,3.0,2.0,5,3.0,4,4.0,4.0,6,4.0,6,4.76,0,0,0,3.0,Heterosexual,Female,0,1,2,11261.11,6.37,5.0,3.33,3.75,5.33
1163,1163,Novo Banco,2012,Bragança,Internship,Early Career,Sales,Infant Teacher,3.6088183954804958,5,7,2.0,5,3.0,3.0,5,3.0,4,3.0,4.0,6,3.0,6,4.17,0,0,0,2.0,Heterosexual,Male,1,0,0,18612.11,5.2,3.5,3.67,3.5,5.0
1164,1164,Montepio,2011,Braga,Temporary,Executive,Other,Paraprofessional,2.747843395193491,7,4,4.0,6,3.0,2.0,4,2.0,6,4.0,2.0,6,3.0,8,4.35,1,0,1,4.0,Heterosexual,Non-Binary,1,0,2,24749.94,4.58,5.0,3.0,3.5,5.67
1165,1165,Ironhack,2020,Lisboa,Internship,Senior-Level,Product,Solution Architect,3.5018208435101656,5,7,5.0,6,2.0,3.0,6,2.0,7,3.0,2.0,5,2.0,4,4.3,1,0,0,2.0,Heterosexual,Female,0,0,0,25803.03,5.17,5.5,3.67,3.5,3.67
1166,1166,Lactogal,2020,Viseu,Full-time,Senior-Level,Human Resources,Owner Operator,3.4216383884115036,6,8,2.0,7,2.0,1.0,4,2.0,8,5.0,3.0,6,4.0,7,4.56,1,1,0,2.0,Bisexual,Male,1,0,2,28258.94,5.81,4.5,2.33,4.5,5.67
1167,1167,Galp Energia,2010,Faro,Other,Mid-Level,Research & Development,Systems Engineer,4.0487822646437595,6,8,2.0,4,3.0,3.0,7,3.0,7,4.0,1.0,6,4.0,7,4.55,1,1,0,3.0,Other,Male,1,0,0,13172.88,6.02,3.0,4.33,3.75,5.67
1168,1168,Montepio,2000,Porto,Other,Senior-Level,Accounting & Finance,Slot Technician,1.593518662388024,4,4,4.0,8,2.0,2.0,6,4.0,6,3.0,2.0,6,2.0,11,4.52,0,1,0,3.0,Heterosexual,Male,1,1,2,27267.18,3.2,6.0,3.33,3.75,6.33
1169,1169,Mota-Engil,2020,Braga,Temporary,Mid-Level,Research & Development,Nursing Assistant,0.0,5,4,3.0,6,4.0,3.0,5,2.0,5,4.0,4.0,8,2.0,5,4.05,0,0,0,4.0,Heterosexual,Male,0,1,0,17213.19,3.0,4.5,4.0,3.75,5.0
1170,1170,Jerónimo Martins,2005,Viseu,Part-time,Senior-Level,IT,Medical Technologist,2.2290145229488356,6,5,2.0,6,1.0,4.0,7,4.0,6,2.0,5.0,5,4.0,5,4.27,1,1,1,2.0,Heterosexual,Other,0,0,0,22469.18,4.41,4.0,4.0,4.25,4.67
1171,1171,Tabaqueira,2008,Lisboa,Temporary,Early Career,Business Intelligence,Construction Worker,2.0525875020930417,8,6,2.0,5,4.0,3.0,8,3.0,4,4.0,3.0,6,2.0,6,4.4,1,0,0,3.0,Gay/Lesbian,Female,1,0,2,24925.67,5.35,3.5,5.0,3.5,4.67
1172,1172,Medinfar,2019,Lisboa,Temporary,Senior-Level,Sales,Research Assistant,4.453345659174107,8,10,3.0,7,2.0,4.0,6,3.0,4,4.0,3.0,8,2.0,4,4.93,0,0,1,2.0,Heterosexual,Female,1,0,1,19766.57,7.48,5.0,4.0,3.5,4.67
1173,1173,Novo Banco,2001,Coimbra,Part-time,Senior-Level,IT,LPN,4.202329017140918,7,8,3.0,6,2.0,5.0,6,3.0,3,3.0,4.0,5,2.0,8,4.7,2,0,1,4.0,Gay/Lesbian,Male,1,0,2,28438.97,6.4,4.5,4.33,3.25,5.0
1174,1174,Montepio,2014,Castelo Branco,Internship,Early Career,Marketing,Finance Manager,2.515831509107592,4,6,2.0,6,3.0,3.0,6,3.0,6,4.0,3.0,4,3.0,7,4.17,1,0,1,3.0,Gay/Lesbian,Female,0,1,2,26224.13,4.17,4.0,4.0,4.0,4.67
1175,1175,Critical Software,2012,Faro,Contract,Early Career,Management,Academic Advisor,3.862783331888364,4,5,1.0,6,3.0,4.0,7,3.0,5,2.0,4.0,3,3.0,7,4.06,2,0,0,1.0,Gay/Lesbian,Male,0,1,1,22029.56,4.29,3.5,4.67,3.5,4.33
1176,1176,EFACEC,2015,Aveiro,Part-time,Early Career,IT,Speech Language Pathologist,3.6936072337747867,6,6,2.0,5,5.0,3.0,6,2.0,5,4.0,4.0,5,3.0,7,4.43,2,1,0,4.0,Heterosexual,Female,0,1,1,11426.94,5.23,3.5,4.67,3.75,5.0
1177,1177,"CTT Correios de Portugal, S.A. (CTT)",2012,Portalegre,Internship,Early Career,Production,Marketing Analyst,3.129932040622614,6,7,4.0,4,2.0,2.0,5,1.0,6,3.0,2.0,4,3.0,3,3.74,1,0,0,3.0,Gay/Lesbian,Female,0,0,0,26226.55,5.38,4.0,3.0,3.0,3.33
1178,1178,Ciberbit,2020,Setúbal,Temporary,Early Career,Operations,Executive Chef,3.150704316566639,5,5,4.0,6,3.0,3.0,8,5.0,4,2.0,2.0,7,2.0,4,4.33,0,0,0,3.0,Heterosexual,Male,1,1,2,18129.69,4.38,5.0,4.67,3.25,4.33
1179,1179,Simoldes,2018,Leiria,Full-time,Senior-Level,Tech,Digital Marketing,3.115100184262762,7,10,1.0,6,2.0,4.0,8,2.0,6,2.0,3.0,9,3.0,9,5.03,2,0,0,5.0,Gay/Lesbian,Male,1,0,1,21584.25,6.71,3.5,4.67,3.25,7.0
1180,1180,Galp Energia,2020,Santarém,Internship,Mid-Level,Research & Development,Advertising Manager,3.6231925862441727,5,4,2.0,5,4.0,2.0,5,3.0,7,2.0,3.0,8,2.0,7,4.16,0,1,1,3.0,Heterosexual,Female,0,0,1,22259.61,4.21,3.5,3.67,3.75,5.67
