major_category,minor_category,Occupational Category,total_salary,total_mens_salary,total_womens_salary,total_less_bachelors,mens_less_bachelors,womens_less_bachelors,total_with_bachelors,men_with_bachelors,women_with_bachelors,
"Education, Legal, Community Service, Arts, and Media Occupations",Community and Social Service Occupations,Social and human service assistants," 38,711 "," 40,257 "," 38,353 "," 34,421 "," 31,493 "," 35,276 "," 42,574 "," 48,911 "," 41,971 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Community and Social Service Occupations,"Miscellaneous community and social service specialists, including health educators and community health workers"," 46,248 "," 49,645 "," 44,155 "," 40,824 "," 47,204 "," 38,844 "," 50,385 "," 51,807 "," 49,280 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Community and Social Service Occupations,Clergy," 45,983 "," 46,662 "," 42,010 "," 38,366 "," 39,354 "," 35,027 "," 48,568 "," 49,667 "," 45,501 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Community and Social Service Occupations,"Directors, religious activities and education"," 45,590 "," 54,011 "," 41,286 "," 36,772 "," 41,465 "," 35,363 "," 50,491 "," 56,856 "," 44,419 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Community and Social Service Occupations,"Religious workers, all other"," 35,911 "," 39,134 "," 33,059 "," 32,072 "," 27,632 "," 33,259 "," 37,497 "," 43,606 "," 32,902 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Legal Occupations,Legal Occupations," 88,485 "," 122,030 "," 66,059 "," 47,299 "," 55,562 "," 46,521 "," 102,428 "," 126,856 "," 84,682 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Legal Occupations,Lawyers," 122,082 "," 136,079 "," 102,475 "," 80,311 "," 89,131 "," 70,808 "," 122,301 "," 136,490 "," 103,673 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Legal Occupations,Judicial law clerks," 56,193 "," 56,766 "," 55,501 "," 40,783 "," 55,478 "," 40,075 "," 61,109 "," 65,016 "," 60,836 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Legal Occupations,"Judges, magistrates, and other judicial workers"," 103,129 "," 125,071 "," 81,109 "," 51,313 "," 80,400 "," 42,349 "," 120,250 "," 131,437 "," 101,107 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Legal Occupations,Paralegals and legal assistants," 49,044 "," 51,308 "," 48,568 "," 46,685 "," 46,937 "," 46,670 "," 51,589 "," 52,857 "," 51,401 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Legal Occupations,Miscellaneous legal support workers," 51,502 "," 67,023 "," 47,194 "," 46,539 "," 52,212 "," 44,724 "," 64,299 "," 78,897 "," 55,210 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Education, Training, and Library Occupations","Education, Training, and Library Occupations"," 50,548 "," 58,109 "," 47,397 "," 26,780 "," 46,423 "," 23,942 "," 52,363 "," 60,358 "," 51,027 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Education, Training, and Library Occupations",Postsecondary teachers," 68,814 "," 75,765 "," 62,023 "," 45,557 "," 52,340 "," 37,262 "," 70,584 "," 77,320 "," 63,639 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Education, Training, and Library Occupations",Preschool and kindergarten teachers," 26,314 "," 30,092 "," 26,246 "," 21,768 "," 25,056 "," 21,748 "," 34,797 "," 30,835 "," 35,039 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Education, Training, and Library Occupations",Elementary and middle school teachers," 51,029 "," 53,811 "," 50,423 "," 30,086 "," 37,010 "," 26,864 "," 51,382 "," 54,469 "," 50,815 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Education, Training, and Library Occupations",Secondary school teachers," 53,451 "," 56,222 "," 51,950 "," 35,574 "," 41,026 "," 29,202 "," 53,941 "," 56,501 "," 52,167 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Education, Training, and Library Occupations",Special education teachers," 49,774 "," 50,656 "," 49,543 "," 21,943 "," 36,299 "," 21,043 "," 51,310 "," 51,846 "," 51,226 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Education, Training, and Library Occupations",Other teachers and instructors," 47,731 "," 53,507 "," 41,711 "," 43,158 "," 51,628 "," 36,969 "," 51,100 "," 56,980 "," 46,771 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Education, Training, and Library Occupations","Archivists, curators, and museum technicians"," 49,827 "," 53,542 "," 46,087 "," 46,800 "," 51,153 "," 40,741 "," 50,278 "," 56,590 "," 46,915 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Education, Training, and Library Occupations",Librarians," 51,559 "," 58,136 "," 50,791 "," 32,382 "," 41,489 "," 31,437 "," 53,604 "," 59,230 "," 52,260 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Education, Training, and Library Occupations",Library technicians," 31,620 "," 45,951 "," 29,100 "," 26,300 "," 39,132 "," 25,132 "," 41,407 "," 49,712 "," 39,649 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Education, Training, and Library Occupations",Teacher assistants," 23,371 "," 32,485 "," 22,364 "," 22,455 "," 37,439 "," 21,928 "," 26,532 "," 29,910 "," 25,794 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Education, Training, and Library Occupations","Other education, training, and library workers"," 54,497 "," 60,111 "," 52,213 "," 40,296 "," 41,795 "," 37,334 "," 57,671 "," 61,843 "," 56,386 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations"," 53,273 "," 57,268 "," 50,621 "," 45,524 "," 50,851 "," 37,393 "," 59,118 "," 61,879 "," 55,123 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations",Artists and related workers," 46,270 "," 52,211 "," 37,325 "," 36,652 "," 43,378 "," 25,507 "," 52,891 "," 61,277 "," 47,067 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations",Designers," 52,627 "," 60,862 "," 47,450 "," 46,629 "," 53,127 "," 37,296 "," 58,900 "," 65,221 "," 52,921 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations",Actors," 42,126 "," 45,691 "," 36,570 "," 40,240 "," 41,371 "," 31,180 "," 45,536 "," 47,778 "," 40,284 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations",Producers and directors," 71,162 "," 72,860 "," 67,908 "," 60,808 "," 60,027 "," 69,338 "," 75,599 "," 80,484 "," 67,407 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations","Athletes, coaches, umpires, and related workers"," 48,594 "," 50,618 "," 42,209 "," 45,169 "," 46,264 "," 40,390 "," 50,348 "," 51,539 "," 44,565 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations",Dancers and choreographers," 36,605 "," 51,648 "," 25,745 "," 37,967 "," 50,967 "," 35,123 "," 24,674 "," 54,099 "," 21,896 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations","Musicians, singers, and related workers"," 42,086 "," 42,116 "," 41,969 "," 36,810 "," 40,076 "," 32,661 "," 45,455 "," 45,137 "," 45,850 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and performers, sports and related workers, all other"," 40,502 "," 41,488 "," 37,111 "," 41,942 "," 45,896 "," 34,401 "," 36,780 "," 36,695 "," 37,776 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations",Announcers," 46,925 "," 46,685 "," 48,887 "," 41,056 "," 40,669 "," 41,294 "," 51,943 "," 60,131 "," 51,150 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations","News analysts, reporters and correspondents"," 58,790 "," 60,708 "," 55,152 "," 38,368 "," 39,207 "," 36,630 "," 60,880 "," 61,590 "," 57,648 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations",Public relations specialists," 67,259 "," 79,679 "," 64,112 "," 53,025 "," 52,470 "," 53,697 "," 71,461 "," 82,917 "," 66,512 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations",Editors," 56,642 "," 60,245 "," 53,644 "," 40,299 "," 48,161 "," 35,978 "," 60,180 "," 62,269 "," 56,730 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations",Technical writers," 71,989 "," 74,574 "," 70,749 "," 61,507 "," 66,034 "," 51,984 "," 75,690 "," 79,552 "," 72,498 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations",Writers and authors," 56,937 "," 60,644 "," 55,074 "," 42,074 "," 44,943 "," 41,617 "," 60,813 "," 62,460 "," 59,193 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations",Miscellaneous media and communication workers," 43,936 "," 47,229 "," 42,054 "," 40,290 "," 41,868 "," 37,435 "," 49,082 "," 51,295 "," 46,485 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations","Miscellaneous media and communications equipment workers, including broadcast and sound engineering technicians and radio operators"," 56,152 "," 56,899 "," 47,195 "," 56,354 "," 57,032 "," 46,159 "," 55,667 "," 56,562 "," 51,155 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations",Photographers," 38,068 "," 42,113 "," 31,685 "," 34,512 "," 36,936 "," 31,134 "," 41,736 "," 47,374 "," 32,172 ",
"Education, Legal, Community Service, Arts, and Media Occupations","Arts, Design, Entertainment, Sports, and Media Occupations","Television, video, and motion picture camera operators and editors"," 52,537 "," 55,241 "," 51,055 "," 50,043 "," 51,046 "," 21,272 "," 55,193 "," 56,848 "," 51,913 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Healthcare Practitioners and Technical Occupations," 62,966 "," 82,688 "," 60,308 "," 47,068 "," 51,634 "," 46,144 "," 79,938 "," 110,669 "," 71,749 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Chiropractors," 80,739 "," 86,654 "," 60,346 "," 31,798 "," 120,298 "," 31,071 "," 80,916 "," 86,640 "," 61,341 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Dentists," 150,132 "," 158,810 "," 115,473 ", - , - , - ," 150,132 "," 158,810 "," 115,473 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Dietitians and nutritionists," 50,356 "," 51,048 "," 50,284 "," 31,650 "," 42,038 "," 30,812 "," 54,833 "," 57,071 "," 54,633 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Optometrists," 117,397 "," 125,489 "," 101,000 ", - , - , - ," 117,397 "," 125,489 "," 101,000 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Pharmacists," 120,948 "," 122,435 "," 118,803 "," 36,987 "," 55,802 "," 31,973 "," 121,177 "," 122,716 "," 120,115 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Physicians and surgeons," 201,552 "," 231,455 "," 166,575 "," 250,349 "," 250,225 "," 250,533 "," 201,484 "," 231,170 "," 165,485 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Physician assistants," 102,074 "," 111,673 "," 100,587 "," 46,167 "," 78,980 "," 40,722 "," 102,716 "," 112,122 "," 101,253 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Podiatrists," 126,617 "," 140,350 "," 101,644 ", - , - , - ," 126,617 "," 140,350 "," 101,644 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Audiologists," 72,817 "," 74,127 "," 72,156 "," 49,717 ", - ," 48,974 "," 73,699 "," 74,212 "," 73,022 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Occupational therapists," 70,839 "," 80,854 "," 70,222 "," 52,063 "," 50,695 "," 52,443 "," 71,792 "," 81,891 "," 71,116 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Physical therapists," 78,371 "," 85,357 "," 75,102 "," 52,158 "," 57,723 "," 51,190 "," 80,190 "," 86,067 "," 76,015 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Radiation therapists," 88,337 "," 95,008 "," 79,990 "," 88,536 "," 91,183 "," 87,871 "," 87,475 "," 96,557 "," 77,033 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Recreational therapists," 40,565 "," 41,656 "," 39,719 "," 31,338 "," 41,198 "," 30,729 "," 43,666 "," 41,801 "," 44,851 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Respiratory therapists," 56,758 "," 61,429 "," 53,441 "," 55,814 "," 60,782 "," 51,888 "," 60,696 "," 62,622 "," 56,598 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Speech-language pathologists," 64,271 "," 75,360 "," 63,522 "," 31,503 ", - ," 31,802 "," 64,965 "," 75,564 "," 64,243 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,"Miscellaneous therapists, including exercise physiologists"," 50,962 "," 55,337 "," 50,362 "," 44,741 "," 36,803 "," 45,695 "," 51,357 "," 57,456 "," 50,658 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Veterinarians," 90,063 "," 103,622 "," 82,228 ", - , - , - ," 90,063 "," 103,622 "," 82,228 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Registered nurses," 66,038 "," 71,372 "," 65,476 "," 60,743 "," 66,693 "," 60,314 "," 70,481 "," 74,942 "," 70,159 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Nurse anesthetists," 160,522 "," 176,957 "," 151,667 "," 51,064 "," 119,167 "," 46,350 "," 160,915 "," 177,315 "," 152,056 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Nurse midwives," 101,552 ", - ," 101,552 ", - , - , - ," 101,855 ", - ," 101,855 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Nurse practitioners," 100,653 "," 111,157 "," 100,042 "," 95,169 "," 74,185 "," 95,229 "," 100,785 "," 111,183 "," 100,179 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,"Health diagnosing and treating practitioners, all other"," 56,227 "," 65,898 "," 51,321 "," 50,318 "," 36,382 "," 51,095 "," 60,357 "," 66,629 "," 51,550 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Clinical laboratory technologists and technicians," 50,294 "," 52,217 "," 48,766 "," 40,780 "," 41,931 "," 40,391 "," 60,048 "," 61,882 "," 58,504 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Dental hygienists," 58,681 "," 71,206 "," 57,418 "," 52,136 "," 65,591 "," 51,876 "," 66,530 "," 92,295 "," 65,840 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Diagnostic related technologists and technicians," 60,156 "," 65,224 "," 56,746 "," 56,805 "," 62,296 "," 54,081 "," 65,148 "," 68,523 "," 61,629 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Emergency medical technicians and paramedics," 46,154 "," 50,317 "," 41,090 "," 45,530 "," 49,751 "," 40,759 "," 50,843 "," 52,308 "," 46,640 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Health practitioner support technologists and technicians," 34,690 "," 38,089 "," 33,237 "," 34,600 "," 38,296 "," 33,150 "," 35,052 "," 37,177 "," 33,697 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Licensed practical and licensed vocational nurses," 40,102 "," 42,172 "," 39,700 "," 39,682 "," 41,633 "," 39,230 "," 46,635 "," 47,459 "," 45,762 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Medical records and health information technicians," 39,072 "," 39,794 "," 39,024 "," 37,443 "," 37,079 "," 37,479 "," 45,190 "," 42,035 "," 45,470 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,"Opticians, dispensing"," 39,335 "," 50,828 "," 36,014 "," 36,762 "," 46,765 "," 35,069 "," 52,391 "," 57,292 "," 41,995 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Miscellaneous health technologists and technicians," 41,870 "," 51,460 "," 37,239 "," 37,287 "," 45,630 "," 35,023 "," 59,394 "," 66,090 "," 55,164 ",
"Education, Legal, Community Service, Arts, and Media Occupations",Healthcare Practitioners and Technical Occupations,Other healthcare practitioners and technical occupations," 60,265 "," 62,966 "," 55,104 "," 53,046 "," 61,507 "," 41,215 "," 62,363 "," 64,810 "," 61,085 ",
Service Occupations,,Service Occupations," 29,542 "," 34,311 "," 25,497 "," 27,445 "," 31,763 "," 24,730 "," 41,549 "," 50,927 "," 33,343 ",
Service Occupations,Healthcare Support Occupations,Healthcare Support Occupations," 29,666 "," 32,376 "," 28,919 "," 28,810 "," 31,472 "," 28,303 "," 36,003 "," 41,483 "," 35,034 ",
Service Occupations,Healthcare Support Occupations,"Nursing, psychiatric, and home health aides"," 26,656 "," 30,727 "," 26,272 "," 26,350 "," 29,865 "," 26,061 "," 32,162 "," 39,109 "," 31,241 ",
Service Occupations,Healthcare Support Occupations,Occupational therapy assistants and aides," 51,525 "," 60,709 "," 50,123 "," 52,639 "," 61,715 "," 51,337 "," 44,268 "," 50,827 "," 43,635 ",
Service Occupations,Healthcare Support Occupations,Physical therapist assistants and aides," 47,247 "," 49,916 "," 45,445 "," 47,536 "," 52,236 "," 45,377 "," 46,450 "," 47,198 "," 45,723 ",
Service Occupations,Healthcare Support Occupations,Massage therapists," 31,146 "," 31,041 "," 31,192 "," 30,346 "," 30,490 "," 30,279 "," 35,817 "," 35,249 "," 36,014 ",
Service Occupations,Healthcare Support Occupations,Dental assistants," 32,214 "," 35,797 "," 32,110 "," 31,966 "," 31,563 "," 31,990 "," 36,713 "," 47,495 "," 35,711 ",
Service Occupations,Healthcare Support Occupations,Medical assistants," 31,247 "," 36,700 "," 31,048 "," 31,023 "," 32,775 "," 30,939 "," 36,102 "," 51,277 "," 33,722 ",
Service Occupations,Healthcare Support Occupations,Medical transcriptionists," 35,088 "," 50,605 "," 34,279 "," 35,415 "," 50,640 "," 35,055 "," 30,049 "," 50,551 "," 28,525 ",
Service Occupations,Healthcare Support Occupations,Pharmacy aides," 31,018 "," 36,703 "," 30,443 "," 29,610 "," 31,442 "," 28,909 "," 49,237 "," 65,284 "," 37,481 ",
Service Occupations,Healthcare Support Occupations,Veterinary assistants and laboratory animal caretakers," 29,116 "," 36,482 "," 26,990 "," 27,321 "," 32,570 "," 26,481 "," 36,855 "," 60,557 "," 30,746 ",
Service Occupations,Healthcare Support Occupations,Phlebotomists," 31,621 "," 30,951 "," 31,749 "," 31,513 "," 31,072 "," 31,577 "," 35,883 "," 30,615 "," 38,029 ",
Service Occupations,Healthcare Support Occupations,"Healthcare support workers, all other, including medical equipment preparers"," 30,930 "," 33,850 "," 30,207 "," 30,052 "," 34,146 "," 27,645 "," 41,805 "," 32,926 "," 45,019 ",
Service Occupations,Protective Service Occupations,Protective Service Occupations," 52,224 "," 55,588 "," 42,401 "," 48,444 "," 51,067 "," 38,997 "," 66,612 "," 69,864 "," 59,335 ",
Service Occupations,Protective Service Occupations,First-line supervisors of correctional officers," 51,618 "," 54,422 "," 48,466 "," 50,420 "," 51,410 "," 42,275 "," 61,318 "," 62,291 "," 53,449 ",
Service Occupations,Protective Service Occupations,First-line supervisors of police and detectives," 79,736 "," 81,331 "," 70,171 "," 70,481 "," 71,386 "," 57,401 "," 91,730 "," 96,081 "," 80,597 ",
Service Occupations,Protective Service Occupations,First-line supervisors of fire fighting and prevention workers," 90,613 "," 90,955 "," 85,270 "," 85,086 "," 85,198 "," 71,924 "," 101,938 "," 102,615 "," 85,601 ",
Service Occupations,Protective Service Occupations,"First-line supervisors of protective service workers, all other"," 50,590 "," 47,782 "," 55,092 "," 42,216 "," 41,961 "," 45,478 "," 70,635 "," 62,889 "," 75,969 ",
Service Occupations,Protective Service Occupations,Firefighters," 70,136 "," 70,479 "," 52,254 "," 68,185 "," 69,353 "," 46,378 "," 73,360 "," 75,096 "," 61,129 ",
Service Occupations,Protective Service Occupations,Fire inspectors," 60,698 "," 60,702 "," 60,617 "," 53,668 "," 54,326 "," 51,033 "," 84,639 "," 84,489 "," 90,762 ",
Service Occupations,Protective Service Occupations,"Bailiffs, correctional officers, and jailers"," 46,522 "," 49,427 "," 40,562 "," 45,547 "," 48,161 "," 39,860 "," 51,090 "," 52,496 "," 45,702 ",
Service Occupations,Protective Service Occupations,Detectives and criminal investigators," 77,074 "," 81,411 "," 62,307 "," 65,886 "," 70,146 "," 53,491 "," 88,858 "," 96,884 "," 71,472 ",
Service Occupations,Protective Service Occupations,Fish and game wardens," 52,778 "," 55,579 "," 47,015 "," 49,401 "," 48,134 ", - ," 56,484 "," 59,564 "," 37,339 ",
Service Occupations,Protective Service Occupations,Parking enforcement workers," 40,083 "," 42,221 "," 38,833 "," 40,644 "," 44,273 "," 40,109 "," 32,476 "," 31,176 ", - ,
Service Occupations,Protective Service Occupations,Police and sheriff patrol officers," 65,449 "," 66,300 "," 59,149 "," 61,158 "," 61,715 "," 52,386 "," 71,684 "," 72,199 "," 66,085 ",
Service Occupations,Protective Service Occupations,Transit and railroad police," 75,603 "," 75,603 ", - ," 49,310 "," 49,310 ", - ," 92,375 "," 92,375 ", - ,
Service Occupations,Protective Service Occupations,Animal control workers," 35,364 "," 35,818 "," 35,223 "," 35,817 "," 37,495 "," 35,219 "," 30,095 "," 27,205 "," 35,245 ",
Service Occupations,Protective Service Occupations,Private detectives and investigators," 57,061 "," 61,665 "," 50,767 "," 50,462 "," 54,518 "," 43,411 "," 61,338 "," 68,137 "," 56,284 ",
Service Occupations,Protective Service Occupations,Security guards and gaming surveillance officers," 31,440 "," 31,841 "," 30,030 "," 30,476 "," 30,890 "," 28,537 "," 39,871 "," 39,478 "," 40,610 ",
Service Occupations,Protective Service Occupations,Crossing guards," 35,145 "," 31,530 "," 36,352 "," 35,168 "," 31,644 "," 36,305 "," 21,829 "," 20,549 ", - ,
Service Occupations,Protective Service Occupations,Transportation security screeners," 42,388 "," 44,117 "," 41,331 "," 41,756 "," 42,265 "," 41,056 "," 49,404 "," 51,241 "," 48,135 ",
Service Occupations,Protective Service Occupations,"Lifeguards and other recreational, and all other protective service workers"," 36,844 "," 40,933 "," 25,758 "," 31,457 "," 35,804 "," 19,966 "," 45,960 "," 51,693 "," 34,217 ",
Service Occupations,Food Preparation and Serving Related Occupations,Food Preparation and Serving Related Occupations," 24,502 "," 26,514 "," 21,926 "," 23,676 "," 26,031 "," 21,484 "," 31,241 "," 31,923 "," 30,369 ",
Service Occupations,Food Preparation and Serving Related Occupations,Chefs and head cooks," 32,367 "," 34,779 "," 29,745 "," 31,713 "," 33,156 "," 27,129 "," 40,396 "," 40,872 "," 38,051 ",
Service Occupations,Food Preparation and Serving Related Occupations,First-line supervisors of food preparation and serving workers," 27,554 "," 32,175 "," 25,058 "," 26,782 "," 31,478 "," 24,236 "," 36,147 "," 41,204 "," 31,425 ",
Service Occupations,Food Preparation and Serving Related Occupations,Cooks," 22,347 "," 24,257 "," 20,576 "," 22,246 "," 24,123 "," 20,430 "," 25,773 "," 26,156 "," 24,612 ",
Service Occupations,Food Preparation and Serving Related Occupations,Food preparation workers," 21,303 "," 22,641 "," 20,454 "," 21,115 "," 22,312 "," 20,312 "," 23,888 "," 25,748 "," 21,826 ",
Service Occupations,Food Preparation and Serving Related Occupations,Bartenders," 30,523 "," 31,945 "," 26,716 "," 29,746 "," 31,740 "," 25,235 "," 33,794 "," 35,231 "," 33,107 ",
Service Occupations,Food Preparation and Serving Related Occupations,"Combined food preparation and serving workers, including fast food"," 21,982 "," 22,274 "," 21,830 "," 21,860 "," 22,256 "," 21,656 "," 24,834 "," 22,772 "," 25,427 ",
Service Occupations,Food Preparation and Serving Related Occupations,"Counter attendants, cafeteria, food concession, and coffee shop"," 20,942 "," 26,265 "," 18,046 "," 20,550 "," 25,910 "," 17,447 "," 26,344 "," 46,028 "," 22,399 ",
Service Occupations,Food Preparation and Serving Related Occupations,Waiters and waitresses," 24,863 "," 29,020 "," 22,286 "," 23,346 "," 27,261 "," 21,596 "," 31,661 "," 32,317 "," 31,141 ",
Service Occupations,Food Preparation and Serving Related Occupations,"Food servers, nonrestaurant"," 25,884 "," 29,801 "," 24,236 "," 25,435 "," 29,644 "," 23,222 "," 30,165 "," 38,309 "," 29,399 ",
Service Occupations,Food Preparation and Serving Related Occupations,Dining room and cafeteria attendants and bartender helpers," 22,371 "," 25,052 "," 19,201 "," 22,011 "," 24,680 "," 18,747 "," 33,792 "," 33,870 "," 33,766 ",
Service Occupations,Food Preparation and Serving Related Occupations,Dishwashers," 20,244 "," 20,373 "," 19,647 "," 20,238 "," 20,358 "," 19,667 "," 20,462 "," 21,113 "," 19,104 ",
Service Occupations,Food Preparation and Serving Related Occupations,"Hosts and hostesses, restaurant, lounge, and coffee shop"," 23,205 "," 27,781 "," 21,766 "," 21,861 "," 28,469 "," 20,958 "," 30,385 "," 26,409 "," 31,311 ",
Service Occupations,Food Preparation and Serving Related Occupations,"Food preparation and serving related workers, all other"," 20,138 "," 17,308 "," 21,070 "," 16,365 "," 16,867 "," 16,090 "," 26,733 ", - ," 37,524 ",
Service Occupations,Building and Grounds Cleaning and Maintenance Occupations,Building and Grounds Cleaning and Maintenance Occupations," 26,912 "," 30,677 "," 22,086 "," 26,567 "," 30,334 "," 21,935 "," 34,622 "," 39,313 "," 26,576 ",
Service Occupations,Building and Grounds Cleaning and Maintenance Occupations,First-line supervisors of housekeeping and janitorial workers," 36,491 "," 41,193 "," 28,998 "," 35,744 "," 40,263 "," 27,957 "," 45,627 "," 50,886 "," 36,094 ",
Service Occupations,Building and Grounds Cleaning and Maintenance Occupations,"First-line supervisors of landscaping, lawn service, and groundskeeping workers"," 41,081 "," 41,241 "," 36,425 "," 38,959 "," 39,585 "," 36,026 "," 51,008 "," 51,368 "," 40,704 ",
Service Occupations,Building and Grounds Cleaning and Maintenance Occupations,Janitors and building cleaners," 28,655 "," 31,196 "," 23,069 "," 28,365 "," 31,028 "," 22,989 "," 32,232 "," 36,429 "," 24,663 ",
Service Occupations,Building and Grounds Cleaning and Maintenance Occupations,Maids and housekeeping cleaners," 21,680 "," 26,443 "," 21,176 "," 21,562 "," 26,300 "," 21,070 "," 26,054 "," 28,583 "," 25,457 ",
Service Occupations,Building and Grounds Cleaning and Maintenance Occupations,Pest control workers," 39,024 "," 38,940 "," 42,072 "," 39,039 "," 38,920 "," 42,552 "," 38,887 "," 39,126 "," 28,849 ",
